experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,0.9290401508083506,0.9292201183390378,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.405573799759155,2.5019465539948693,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,0.7630797137655603,0.7251274860196953,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,1.222934000417561,1.24656420900987,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,0.3381107398451086,0.2760855754791905,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,0.2645255585508243,0.2405059180170038,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,0.0359137737726766,0.0703094222545225,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,0.5118835712283357,0.538636183835871,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,0.3999373010680617,0.4088659407131416,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,0.2769567149156594,0.1739755833159689,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,0.2403905710421568,0.3941000028349836,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,0.917752265173396,0.9103513500502012,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.3659441486139787,2.4301139532860336,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,0.7701785263953375,0.7171402048102149,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,1.2048425444850697,1.179773295346859,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,0.3543908160151777,0.342048352965296,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,0.2742971520864984,0.2820341259828741,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,0.0202165944689209,0.0129727823105679,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,0.5136353901928072,0.4902393335405309,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,0.3773864305441125,0.3348413259836298,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,0.3297321034684726,0.512945585827455,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,0.2061440330311128,0.0984475785729703,,,
AUDIT scale,Falcon-3-10B-Instruct,1,0.9230578106938018,0.9305683429318674,,,
AUDIT scale,Falcon-3-10B-Instruct,2,2.3894358061643164,2.319976706596113,,,
AUDIT scale,Falcon-3-10B-Instruct,3,0.8129337790977675,0.9445824495432328,,,
AUDIT scale,Falcon-3-10B-Instruct,4,1.216721555831243,1.2522504293961152,,,
